id,station_id,timestamp,crowd_level,passenger_count,capacity_percentage
44023,1,01-07-2026 00:00,2,127,9.071428571
44024,1,01-07-2026 01:00,2,50,3.571428571
44025,1,01-07-2026 02:00,3,122,8.714285714
44026,1,01-07-2026 03:00,1,74,5.285714286
44027,1,01-07-2026 04:00,3,50,3.571428571
44028,1,01-07-2026 05:00,2,134,9.571428571
44029,1,01-07-2026 06:00,3,421,30.07142857
44030,1,01-07-2026 07:00,5,788,56.28571429
44031,1,01-07-2026 08:00,4,1189,84.92857143
44032,1,01-07-2026 09:00,4,971,69.35714286
44033,1,01-07-2026 10:00,4,381,27.21428571
44034,1,01-07-2026 11:00,3,294,21
44035,1,01-07-2026 12:00,2,152,10.85714286
44036,1,01-07-2026 13:00,2,188,13.42857143
44037,1,01-07-2026 14:00,2,210,15
44038,1,01-07-2026 15:00,2,232,16.57142857
44039,1,01-07-2026 16:00,2,448,32
44040,1,01-07-2026 17:00,5,1056,75.42857143
44041,1,01-07-2026 18:00,5,939,67.07142857
44042,1,01-07-2026 19:00,4,1169,83.5
44043,1,01-07-2026 20:00,2,351,25.07142857
44044,1,01-07-2026 21:00,3,189,13.5
44045,1,01-07-2026 22:00,1,80,5.714285714
44046,1,01-07-2026 23:00,1,50,3.571428571
44047,1,02-07-2026 00:00,3,50,3.571428571
44048,1,02-07-2026 01:00,1,156,11.14285714
44049,1,02-07-2026 02:00,1,75,5.357142857
44050,1,02-07-2026 03:00,3,149,10.64285714
44051,1,02-07-2026 04:00,1,75,5.357142857
44052,1,02-07-2026 05:00,3,166,11.85714286
44053,1,02-07-2026 06:00,2,474,33.85714286
44054,1,02-07-2026 07:00,4,1018,72.71428571
44055,1,02-07-2026 08:00,4,1300,92.85714286
44056,1,02-07-2026 09:00,4,844,60.28571429
44057,1,02-07-2026 10:00,3,232,16.57142857
44058,1,02-07-2026 11:00,3,274,19.57142857
44059,1,02-07-2026 12:00,3,247,17.64285714
44060,1,02-07-2026 13:00,3,295,21.07142857
44061,1,02-07-2026 14:00,2,306,21.85714286
44062,1,02-07-2026 15:00,1,199,14.21428571
44063,1,02-07-2026 16:00,4,520,37.14285714
44064,1,02-07-2026 17:00,4,966,69
44065,1,02-07-2026 18:00,5,1107,79.07142857
44066,1,02-07-2026 19:00,4,882,63
44067,1,02-07-2026 20:00,3,379,27.07142857
44068,1,02-07-2026 21:00,1,317,22.64285714
44069,1,02-07-2026 22:00,2,50,3.571428571
44070,1,02-07-2026 23:00,2,61,4.357142857
44071,1,03-07-2026 00:00,3,98,7
44072,1,03-07-2026 01:00,1,95,6.785714286
44073,1,03-07-2026 02:00,2,94,6.714285714
44074,1,03-07-2026 03:00,2,65,4.642857143
44075,1,03-07-2026 04:00,2,56,4
44076,1,03-07-2026 05:00,2,268,19.14285714
44077,1,03-07-2026 06:00,4,401,28.64285714
44078,1,03-07-2026 07:00,5,1108,79.14285714
44079,1,03-07-2026 08:00,5,1204,86
44080,1,03-07-2026 09:00,4,1038,74.14285714
44081,1,03-07-2026 10:00,4,397,28.35714286
44082,1,03-07-2026 11:00,1,174,12.42857143
44083,1,03-07-2026 12:00,2,205,14.64285714
