id,station_name,timestamp,entry_count,exit_count,platform_count,concourse_count,crowd_density
HIS_000001,Rajiv Chowk,2026-03-01 00:00:00,0,0,0,0,0.0
HIS_000002,Kashmere Gate,2026-03-01 00:00:00,0,0,0,0,0.0
HIS_000003,New Delhi,2026-03-01 00:00:00,0,0,0,0,0.0
HIS_000004,Hauz Khas,2026-03-01 00:00:00,0,0,0,0,0.0
HIS_000005,Botanical Garden,2026-03-01 00:00:00,0,0,0,0,0.0
HIS_000006,Janakpuri West,2026-03-01 00:00:00,0,0,0,0,0.0
HIS_000007,Lajpat Nagar,2026-03-01 00:00:00,0,0,0,0,0.0
HIS_000008,Central Secretariat,2026-03-01 00:00:00,0,0,0,0,0.0
HIS_000009,Yamuna Bank,2026-03-01 00:00:00,0,0,0,0,0.0
HIS_000010,Inderlok,2026-03-01 00:00:00,0,0,0,0,0.0
HIS_000011,Rajiv Chowk,2026-03-01 00:15:00,0,0,0,0,0.0
HIS_000012,Kashmere Gate,2026-03-01 00:15:00,0,0,0,0,0.0
HIS_000013,New Delhi,2026-03-01 00:15:00,0,0,0,0,0.0
HIS_000014,Hauz Khas,2026-03-01 00:15:00,0,0,0,0,0.0
HIS_000015,Botanical Garden,2026-03-01 00:15:00,0,0,0,0,0.0
HIS_000016,Janakpuri West,2026-03-01 00:15:00,0,0,0,0,0.0
HIS_000017,Lajpat Nagar,2026-03-01 00:15:00,0,0,0,0,0.0
HIS_000018,Central Secretariat,2026-03-01 00:15:00,0,0,0,0,0.0
HIS_000019,Yamuna Bank,2026-03-01 00:15:00,0,0,0,0,0.0
HIS_000020,Inderlok,2026-03-01 00:15:00,0,0,0,0,0.0
HIS_000021,Rajiv Chowk,2026-03-01 00:30:00,0,0,0,0,0.0
HIS_000022,Kashmere Gate,2026-03-01 00:30:00,0,0,0,0,0.0
HIS_000023,New Delhi,2026-03-01 00:30:00,0,0,0,0,0.0
HIS_000024,Hauz Khas,2026-03-01 00:30:00,0,0,0,0,0.0
HIS_000025,Botanical Garden,2026-03-01 00:30:00,0,0,0,0,0.0
HIS_000026,Janakpuri West,2026-03-01 00:30:00,0,0,0,0,0.0
HIS_000027,Lajpat Nagar,2026-03-01 00:30:00,0,0,0,0,0.0
HIS_000028,Central Secretariat,2026-03-01 00:30:00,0,0,0,0,0.0
HIS_000029,Yamuna Bank,2026-03-01 00:30:00,0,0,0,0,0.0
HIS_000030,Inderlok,2026-03-01 00:30:00,0,0,0,0,0.0
HIS_000031,Rajiv Chowk,2026-03-01 00:45:00,0,0,0,0,0.0
HIS_000032,Kashmere Gate,2026-03-01 00:45:00,0,0,0,0,0.0
HIS_000033,New Delhi,2026-03-01 00:45:00,0,0,0,0,0.0
HIS_000034,Hauz Khas,2026-03-01 00:45:00,0,0,0,0,0.0
HIS_000035,Botanical Garden,2026-03-01 00:45:00,0,0,0,0,0.0
HIS_000036,Janakpuri West,2026-03-01 00:45:00,0,0,0,0,0.0
HIS_000037,Lajpat Nagar,2026-03-01 00:45:00,0,0,0,0,0.0
HIS_000038,Central Secretariat,2026-03-01 00:45:00,0,0,0,0,0.0
HIS_000039,Yamuna Bank,2026-03-01 00:45:00,0,0,0,0,0.0
HIS_000040,Inderlok,2026-03-01 00:45:00,0,0,0,0,0.0
HIS_000041,Rajiv Chowk,2026-03-01 01:00:00,0,0,0,0,0.0
HIS_000042,Kashmere Gate,2026-03-01 01:00:00,0,0,0,0,0.0
HIS_000043,New Delhi,2026-03-01 01:00:00,0,0,0,0,0.0
HIS_000044,Hauz Khas,2026-03-01 01:00:00,0,0,0,0,0.0
HIS_000045,Botanical Garden,2026-03-01 01:00:00,0,0,0,0,0.0
HIS_000046,Janakpuri West,2026-03-01 01:00:00,0,0,0,0,0.0
HIS_000047,Lajpat Nagar,2026-03-01 01:00:00,0,0,0,0,0.0
HIS_000048,Central Secretariat,2026-03-01 01:00:00,0,0,0,0,0.0
HIS_000049,Yamuna Bank,2026-03-01 01:00:00,0,0,0,0,0.0
HIS_000050,Inderlok,2026-03-01 01:00:00,0,0,0,0,0.0
HIS_000051,Rajiv Chowk,2026-03-01 01:15:00,0,0,0,0,0.0
HIS_000052,Kashmere Gate,2026-03-01 01:15:00,0,0,0,0,0.0
HIS_000053,New Delhi,2026-03-01 01:15:00,0,0,0,0,0.0
HIS_000054,Hauz Khas,2026-03-01 01:15:00,0,0,0,0,0.0
HIS_000055,Botanical Garden,2026-03-01 01:15:00,0,0,0,0,0.0
HIS_000056,Janakpuri West,2026-03-01 01:15:00,0,0,0,0,0.0
HIS_000057,Lajpat Nagar,2026-03-01 01:15:00,0,0,0,0,0.0
HIS_000058,Central Secretariat,2026-03-01 01:15:00,0,0,0,0,0.0
HIS_000059,Yamuna Bank,2026-03-01 01:15:00,0,0,0,0,0.0
HIS_000060,Inderlok,2026-03-01 01:15:00,0,0,0,0,0.0
HIS_000061,Rajiv Chowk,2026-03-01 01:30:00,0,0,0,0,0.0
HIS_000062,Kashmere Gate,2026-03-01 01:30:00,0,0,0,0,0.0
HIS_000063,New Delhi,2026-03-01 01:30:00,0,0,0,0,0.0
HIS_000064,Hauz Khas,2026-03-01 01:30:00,0,0,0,0,0.0
HIS_000065,Botanical Garden,2026-03-01 01:30:00,0,0,0,0,0.0
HIS_000066,Janakpuri West,2026-03-01 01:30:00,0,0,0,0,0.0
HIS_000067,Lajpat Nagar,2026-03-01 01:30:00,0,0,0,0,0.0
HIS_000068,Central Secretariat,2026-03-01 01:30:00,0,0,0,0,0.0
HIS_000069,Yamuna Bank,2026-03-01 01:30:00,0,0,0,0,0.0
HIS_000070,Inderlok,2026-03-01 01:30:00,0,0,0,0,0.0
HIS_000071,Rajiv Chowk,2026-03-01 01:45:00,0,0,0,0,0.0
HIS_000072,Kashmere Gate,2026-03-01 01:45:00,0,0,0,0,0.0
HIS_000073,New Delhi,2026-03-01 01:45:00,0,0,0,0,0.0
HIS_000074,Hauz Khas,2026-03-01 01:45:00,0,0,0,0,0.0
HIS_000075,Botanical Garden,2026-03-01 01:45:00,0,0,0,0,0.0
HIS_000076,Janakpuri West,2026-03-01 01:45:00,0,0,0,0,0.0
HIS_000077,Lajpat Nagar,2026-03-01 01:45:00,0,0,0,0,0.0
HIS_000078,Central Secretariat,2026-03-01 01:45:00,0,0,0,0,0.0
HIS_000079,Yamuna Bank,2026-03-01 01:45:00,0,0,0,0,0.0
HIS_000080,Inderlok,2026-03-01 01:45:00,0,0,0,0,0.0
HIS_000081,Rajiv Chowk,2026-03-01 02:00:00,0,0,0,0,0.0
HIS_000082,Kashmere Gate,2026-03-01 02:00:00,0,0,0,0,0.0
HIS_000083,New Delhi,2026-03-01 02:00:00,0,0,0,0,0.0
HIS_000084,Hauz Khas,2026-03-01 02:00:00,0,0,0,0,0.0
HIS_000085,Botanical Garden,2026-03-01 02:00:00,0,0,0,0,0.0
HIS_000086,Janakpuri West,2026-03-01 02:00:00,0,0,0,0,0.0
HIS_000087,Lajpat Nagar,2026-03-01 02:00:00,0,0,0,0,0.0
HIS_000088,Central Secretariat,2026-03-01 02:00:00,0,0,0,0,0.0
HIS_000089,Yamuna Bank,2026-03-01 02:00:00,0,0,0,0,0.0
HIS_000090,Inderlok,2026-03-01 02:00:00,0,0,0,0,0.0
HIS_000091,Rajiv Chowk,2026-03-01 02:15:00,0,0,0,0,0.0
HIS_000092,Kashmere Gate,2026-03-01 02:15:00,0,0,0,0,0.0
HIS_000093,New Delhi,2026-03-01 02:15:00,0,0,0,0,0.0
HIS_000094,Hauz Khas,2026-03-01 02:15:00,0,0,0,0,0.0
HIS_000095,Botanical Garden,2026-03-01 02:15:00,0,0,0,0,0.0
HIS_000096,Janakpuri West,2026-03-01 02:15:00,0,0,0,0,0.0
HIS_000097,Lajpat Nagar,2026-03-01 02:15:00,0,0,0,0,0.0
HIS_000098,Central Secretariat,2026-03-01 02:15:00,0,0,0,0,0.0
HIS_000099,Yamuna Bank,2026-03-01 02:15:00,0,0,0,0,0.0
HIS_000100,Inderlok,2026-03-01 02:15:00,0,0,0,0,0.0
HIS_000101,Rajiv Chowk,2026-03-01 02:30:00,0,0,0,0,0.0
HIS_000102,Kashmere Gate,2026-03-01 02:30:00,0,0,0,0,0.0
HIS_000103,New Delhi,2026-03-01 02:30:00,0,0,0,0,0.0
HIS_000104,Hauz Khas,2026-03-01 02:30:00,0,0,0,0,0.0
HIS_000105,Botanical Garden,2026-03-01 02:30:00,0,0,0,0,0.0
HIS_000106,Janakpuri West,2026-03-01 02:30:00,0,0,0,0,0.0
HIS_000107,Lajpat Nagar,2026-03-01 02:30:00,0,0,0,0,0.0
HIS_000108,Central Secretariat,2026-03-01 02:30:00,0,0,0,0,0.0
HIS_000109,Yamuna Bank,2026-03-01 02:30:00,0,0,0,0,0.0
HIS_000110,Inderlok,2026-03-01 02:30:00,0,0,0,0,0.0
HIS_000111,Rajiv Chowk,2026-03-01 02:45:00,0,0,0,0,0.0
HIS_000112,Kashmere Gate,2026-03-01 02:45:00,0,0,0,0,0.0
HIS_000113,New Delhi,2026-03-01 02:45:00,0,0,0,0,0.0
HIS_000114,Hauz Khas,2026-03-01 02:45:00,0,0,0,0,0.0
HIS_000115,Botanical Garden,2026-03-01 02:45:00,0,0,0,0,0.0
HIS_000116,Janakpuri West,2026-03-01 02:45:00,0,0,0,0,0.0
HIS_000117,Lajpat Nagar,2026-03-01 02:45:00,0,0,0,0,0.0
HIS_000118,Central Secretariat,2026-03-01 02:45:00,0,0,0,0,0.0
HIS_000119,Yamuna Bank,2026-03-01 02:45:00,0,0,0,0,0.0
HIS_000120,Inderlok,2026-03-01 02:45:00,0,0,0,0,0.0
HIS_000121,Rajiv Chowk,2026-03-01 03:00:00,0,0,0,0,0.0
HIS_000122,Kashmere Gate,2026-03-01 03:00:00,0,0,0,0,0.0
HIS_000123,New Delhi,2026-03-01 03:00:00,0,0,0,0,0.0
HIS_000124,Hauz Khas,2026-03-01 03:00:00,0,0,0,0,0.0
HIS_000125,Botanical Garden,2026-03-01 03:00:00,0,0,0,0,0.0
HIS_000126,Janakpuri West,2026-03-01 03:00:00,0,0,0,0,0.0
HIS_000127,Lajpat Nagar,2026-03-01 03:00:00,0,0,0,0,0.0
HIS_000128,Central Secretariat,2026-03-01 03:00:00,0,0,0,0,0.0
HIS_000129,Yamuna Bank,2026-03-01 03:00:00,0,0,0,0,0.0
HIS_000130,Inderlok,2026-03-01 03:00:00,0,0,0,0,0.0
HIS_000131,Rajiv Chowk,2026-03-01 03:15:00,0,0,0,0,0.0
HIS_000132,Kashmere Gate,2026-03-01 03:15:00,0,0,0,0,0.0
HIS_000133,New Delhi,2026-03-01 03:15:00,0,0,0,0,0.0
HIS_000134,Hauz Khas,2026-03-01 03:15:00,0,0,0,0,0.0
HIS_000135,Botanical Garden,2026-03-01 03:15:00,0,0,0,0,0.0
HIS_000136,Janakpuri West,2026-03-01 03:15:00,0,0,0,0,0.0
HIS_000137,Lajpat Nagar,2026-03-01 03:15:00,0,0,0,0,0.0
HIS_000138,Central Secretariat,2026-03-01 03:15:00,0,0,0,0,0.0
